GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sports Data ETL Pipeline,com.sportsdata.etl.extractors,CsvDataExtractor,36,238,4,20,9,53,4,13,0,5
Sports Data ETL Pipeline,com.sportsdata.etl.extractors,XmlFeedExtractor,422,0,44,0,96,0,28,0,6,0
Sports Data ETL Pipeline,com.sportsdata.etl.extractors,JsonApiExtractor,359,0,58,0,77,0,38,0,9,0
Sports Data ETL Pipeline,com.sportsdata.etl.models,Player.PlayerStatistics,68,0,0,0,22,0,9,0,9,0
Sports Data ETL Pipeline,com.sportsdata.etl.models,Player,124,0,8,0,35,0,21,0,17,0
Sports Data ETL Pipeline,com.sportsdata.etl.models,Game,125,0,6,0,37,0,22,0,19,0
Sports Data ETL Pipeline,com.sportsdata.etl.models,Team,74,39,6,0,19,14,13,7,10,7
Sports Data ETL Pipeline,com.sportsdata.etl.controllers,EtlController,237,0,4,0,61,0,9,0,7,0
Sports Data ETL Pipeline,com.sportsdata.etl.config,MetricsConfig,23,0,0,0,4,0,2,0,2,0
Sports Data ETL Pipeline,com.sportsdata.etl.transformers,DataCleaner,395,0,46,0,111,0,32,0,9,0
Sports Data ETL Pipeline,com.sportsdata.etl.transformers,DataStandardizer,675,0,72,0,158,0,48,0,12,0
Sports Data ETL Pipeline,com.sportsdata.etl.transformers,DataValidator,307,0,30,0,62,0,20,0,5,0
Sports Data ETL Pipeline,com.sportsdata.etl.quality,ValidationRules,589,0,142,0,97,0,76,0,5,0
Sports Data ETL Pipeline,com.sportsdata.etl.quality,DataQualityChecker,318,0,44,0,68,0,31,0,9,0
Sports Data ETL Pipeline,com.sportsdata.etl.quality,QualityReport,100,0,0,0,33,0,18,0,18,0
Sports Data ETL Pipeline,com.sportsdata.etl.quality,ValidationRules.ValidationResult,59,0,2,0,14,0,9,0,8,0
Sports Data ETL Pipeline,com.sportsdata.etl.utils,MetricsCollector,399,0,24,0,108,0,31,0,19,0
Sports Data ETL Pipeline,com.sportsdata.etl,Application,8,0,0,0,3,0,2,0,2,0
Sports Data ETL Pipeline,com.sportsdata.etl.loaders,DatabaseLoader,244,0,12,0,65,0,19,0,13,0
Sports Data ETL Pipeline,com.sportsdata.etl.pipeline,EtlPipeline.PipelineConfig,36,0,0,0,12,0,8,0,8,0
Sports Data ETL Pipeline,com.sportsdata.etl.pipeline,EtlPipeline.ExtractedData,24,0,0,0,7,0,7,0,7,0
Sports Data ETL Pipeline,com.sportsdata.etl.pipeline,EtlPipeline.LoadResult,38,0,0,0,11,0,11,0,11,0
Sports Data ETL Pipeline,com.sportsdata.etl.pipeline,EtlPipeline,351,0,12,0,85,0,12,0,6,0
Sports Data ETL Pipeline,com.sportsdata.etl.pipeline,EtlPipeline.TransformedData,24,0,0,0,7,0,7,0,7,0
Sports Data ETL Pipeline,com.sportsdata.etl.pipeline,EtlPipeline.PipelineResult,76,0,2,0,23,0,19,0,18,0
